"tag_id","animal_id","animal_taxon","deploy_on_date","deploy_off_date","hunt","prey_p_month","animal_reproductive_condition","animal_sex","hrs_indoors","n_cats","food_dry","food_wet","food_other","study_site","age_years"
"Tommy-Tag","Tommy","Felis catus",2017-06-03 01:02:09,2017-06-10 02:10:52,TRUE,12.5,"Neutered","m",12.5,2,TRUE,TRUE,FALSE,"UK",11
"Athena","Athena","Felis catus",2017-06-24 01:02:13,2017-06-30 23:59:32,TRUE,3,"Spayed","f",7.5,2,TRUE,TRUE,FALSE,"UK",3
"Ares","Ares","Felis catus",2017-06-24 01:03:57,2017-06-30 23:58:01,NA,0,"Neutered","m",7.5,2,TRUE,TRUE,FALSE,"UK",3
"Lola","Lola","Felis catus",2017-06-24 01:18:49,2017-06-30 09:04:40,TRUE,3,"Spayed","f",17.5,1,TRUE,TRUE,FALSE,"UK",10
"Maverick","Maverick","Felis catus",2017-06-25 01:04:35,2017-07-03 09:10:07,TRUE,3,"Neutered","m",12.5,1,TRUE,TRUE,TRUE,"UK",7
"Coco","Coco","Felis catus",2017-06-28 01:02:22,2017-07-05 06:50:04,TRUE,3,"Spayed","f",12.5,2,TRUE,TRUE,TRUE,"UK",7
"Charlie","Charlie","Felis catus",2017-06-28 01:03:33,2017-07-04 07:08:31,TRUE,3,"Neutered","m",12.5,3,TRUE,TRUE,FALSE,"UK",6
"Jago","Jago","Felis catus",2017-06-28 04:10:59,2017-07-04 02:50:05,TRUE,17.5,"Neutered","m",7.5,4,TRUE,TRUE,TRUE,"UK",2
"Morpheus-Tag","Morpheus","Felis catus",2017-07-01 01:02:18,2017-07-09 06:39:05,TRUE,3,"Neutered","m",2.5,2,TRUE,FALSE,NA,"UK",4
"Nettle-Tag","Nettle","Felis catus",2017-07-01 01:05:50,2017-07-08 00:05:12,TRUE,7.5,"Spayed","f",12.5,2,TRUE,FALSE,NA,"UK",4
"Meg-Tag","Meg","Felis catus",2017-07-02 01:02:43,2017-07-09 00:36:13,TRUE,3,NA,"f",12.5,1,TRUE,TRUE,TRUE,"UK",8
"Friday","Friday","Felis catus",2017-07-02 07:28:08,2017-07-07 21:56:16,TRUE,0.5,"Neutered","m",7.5,1,TRUE,FALSE,TRUE,"UK",1
"Carbonel-Tag","Carbonel","Felis catus",2017-07-07 01:01:46,2017-07-14 02:51:28,FALSE,0,"Neutered","m",17.5,1,TRUE,FALSE,FALSE,"UK",8
"Fonzie-Tag","Fonzie","Felis catus",2017-07-08 01:02:02,2017-07-15 08:10:04,TRUE,0.5,"Neutered","m",12.5,2,TRUE,TRUE,NA,"UK",10
"Jessy-Tag","Jessy","Felis catus",2017-07-08 01:02:52,2017-07-08 13:12:54,TRUE,3,"Spayed","f",12.5,1,TRUE,TRUE,TRUE,"UK",11
"Barney-Tag","Barney","Felis catus",2017-07-08 01:16:36,2017-07-15 07:20:01,TRUE,0.5,"Neutered","m",12.5,2,TRUE,TRUE,NA,"UK",11
"Sparky-Tag","Sparky","Felis catus",2017-07-08 02:36:48,2017-07-15 01:56:49,TRUE,0.5,"Spayed","f",7.5,4,TRUE,TRUE,FALSE,"UK",8
"Indie-Tag","Indie","Felis catus",2017-07-09 01:03:00,2017-07-16 09:33:00,TRUE,0.5,"Neutered","m",17.5,2,TRUE,FALSE,FALSE,"UK",3
"Whiskey-Tag","Whiskey","Felis catus",2017-07-09 01:04:12,2017-07-16 03:11:05,TRUE,0.5,"Neutered","m",17.5,1,TRUE,TRUE,TRUE,"UK",5
"Rusty-Tag","Rusty","Felis catus",2017-07-09 02:19:00,2017-07-16 00:34:00,TRUE,3,"Neutered","m",17.5,1,TRUE,FALSE,NA,"UK",4
"Mifty-Tag","Mifty","Felis catus",2017-07-13 01:01:00,2017-07-20 00:31:00,TRUE,12.5,"Spayed","f",7.5,1,TRUE,TRUE,FALSE,"UK",2
"Wilfred-Tag","Wilfred","Felis catus",2017-07-13 01:01:06,2017-07-20 01:19:06,NA,0,"Neutered","m",7.5,1,TRUE,FALSE,FALSE,"UK",6
"Johnny-Tag","Johnny","Felis catus",2017-07-13 01:02:09,2017-07-16 00:08:52,TRUE,12.5,"Neutered","m",7.5,1,TRUE,TRUE,FALSE,"UK",NA
"Poppet-Tag","Poppet","Felis catus",2017-07-13 01:02:57,2017-07-19 20:52:53,TRUE,3,"Spayed","f",22.5,3,TRUE,TRUE,TRUE,"UK",10
"Pussy-Tag","Pussy","Felis catus",2017-07-13 01:05:34,2017-07-20 16:06:52,TRUE,3,"Neutered","m",2.5,3,TRUE,FALSE,TRUE,"UK",2
"Henry-Tag","Henry","Felis catus",2017-07-14 01:02:00,2017-07-21 00:04:00,FALSE,0,"Neutered","m",7.5,1,TRUE,TRUE,FALSE,"UK",8
"Winnie-Tag","Winnie","Felis catus",2017-07-16 01:02:02,2017-07-23 00:11:53,TRUE,3,"Neutered","m",12.5,1,TRUE,TRUE,FALSE,"UK",12
"Tom-Tag","Tom","Felis catus",2017-07-16 01:02:32,2017-07-24 04:47:12,TRUE,12.5,"Spayed","f",12.5,2,TRUE,TRUE,TRUE,"UK",3
"Lady T-Tag","Lady T","Felis catus",2017-07-16 01:03:04,2017-07-23 15:06:46,TRUE,3,"Neutered","m",12.5,3,TRUE,TRUE,TRUE,"UK",2
"Bella-Tag","Bella","Felis catus",2017-07-16 01:46:58,2017-07-24 05:18:52,TRUE,7.5,"Spayed","f",12.5,2,TRUE,TRUE,FALSE,"UK",3
"Ladyboyhawke-Tag","Ladyboyhawke","Felis catus",2017-07-16 22:26:56,2017-07-22 01:36:51,TRUE,3,"Spayed","f",17.5,2,TRUE,TRUE,TRUE,"UK",5
"Charlie2-Tag","Charlie2","Felis catus",2017-07-17 01:01:00,2017-07-23 00:05:00,TRUE,3,"Neutered","m",12.5,2,TRUE,TRUE,TRUE,"UK",9
"Max-Tag","Max","Felis catus",2017-07-17 01:03:30,2017-07-23 05:19:13,TRUE,3,"Neutered","m",12.5,3,TRUE,TRUE,FALSE,"UK",5
"Ebby-Tag","Ebby","Felis catus",2017-07-20 01:02:02,2017-07-27 00:05:31,TRUE,3,"Spayed","f",17.5,2,FALSE,TRUE,TRUE,"UK",10
"Bear-Tag","Bear","Felis catus",2017-07-20 01:03:19,2017-07-27 04:17:28,TRUE,3,"Neutered","m",12.5,2,TRUE,TRUE,NA,"UK",6
"Bumbles-Tag","Bumbles","Felis catus",2017-07-20 03:06:34,2017-07-27 00:08:54,TRUE,3,"Spayed","f",12.5,2,FALSE,TRUE,TRUE,"UK",12
"Chloe-Tag","Chloe","Felis catus",2017-07-20 03:29:22,2017-07-26 19:25:50,TRUE,3,"Spayed","f",17.5,2,TRUE,TRUE,NA,"UK",7
"Merlin-Tag","Merlin","Felis catus",2017-07-20 09:25:37,2017-07-27 00:24:39,TRUE,7.5,"Neutered","m",12.5,1,TRUE,FALSE,FALSE,"UK",5
"Felix-Tag","Felix","Felis catus",2017-07-22 01:02:05,2017-07-26 00:50:28,TRUE,3,"Neutered","m",22.5,1,TRUE,TRUE,FALSE,"UK",4
"Beanie-Tag","Beanie","Felis catus",2017-07-22 01:02:42,2017-07-29 09:52:37,FALSE,0,"Neutered","m",17.5,4,TRUE,TRUE,FALSE,"UK",4
"Sid-Tag","Sid","Felis catus",2017-07-22 01:04:12,2017-07-29 10:23:55,TRUE,17.5,"Spayed","f",7.5,1,TRUE,FALSE,FALSE,"UK",4
"Binky-Tag","Binky","Felis catus",2017-07-22 01:06:16,2017-07-28 15:28:57,FALSE,0,"Neutered","m",17.5,4,TRUE,TRUE,FALSE,"UK",4
"Amber-Tag","Amber","Felis catus",2017-07-28 01:03:24,2017-08-04 00:07:52,TRUE,3,NA,"f",7.5,4,TRUE,TRUE,TRUE,"UK",4
"Ernie-Tag","Ernie","Felis catus",2017-07-28 01:05:56,2017-08-04 02:03:41,TRUE,3,"Neutered","m",7.5,4,TRUE,TRUE,TRUE,"UK",1
"Bits-Tag","Bits","Felis catus",2017-07-29 01:02:11,2017-07-31 00:44:00,TRUE,3,"Spayed","f",2.5,3,TRUE,FALSE,TRUE,"UK",13
"Maxwell-Tag","Maxwell","Felis catus",2017-07-29 01:02:12,2017-08-08 03:58:11,TRUE,17.5,"Neutered","m",7.5,1,TRUE,TRUE,TRUE,"UK",6
"Lightening Bugg-Tag","Lightening Bugg","Felis catus",2017-07-29 01:02:49,2017-08-03 03:57:58,NA,0,"Neutered","m",12.5,2,TRUE,FALSE,FALSE,"UK",0
"Bobs-Tag","Bobs","Felis catus",2017-07-29 05:36:35,2017-08-05 09:25:34,TRUE,3,"Spayed","f",7.5,3,TRUE,FALSE,TRUE,"UK",13
"Carrots-Tag","Carrots","Felis catus",2017-08-25 01:01:32,2017-09-01 19:04:26,TRUE,17.5,"Neutered","m",7.5,4,TRUE,TRUE,FALSE,"UK",3
"Smudge-Tag","Smudge","Felis catus",2017-08-25 01:01:47,2017-09-01 03:03:32,TRUE,3,"Neutered","m",7.5,1,TRUE,TRUE,TRUE,"UK",3
"Magic-Tag","Magic","Felis catus",2017-08-25 01:02:00,2017-08-25 17:06:00,TRUE,3,"Spayed","f",12.5,3,TRUE,FALSE,FALSE,"UK",3
"Spike-Tag","Spike","Felis catus",2017-08-25 01:02:29,2017-09-01 07:59:53,TRUE,7.5,"Neutered","m",12.5,1,TRUE,FALSE,TRUE,"UK",0
"Dory-Tag","Dory","Felis catus",2017-08-25 01:03:23,2017-09-01 00:05:31,TRUE,0.5,"Not fixed","f",7.5,2,TRUE,TRUE,TRUE,"UK",1
"Tigger-Tag","Tigger","Felis catus",2017-08-25 01:04:55,2017-09-01 01:46:12,TRUE,0.5,"Neutered","m",7.5,1,TRUE,TRUE,FALSE,"UK",3
